id	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
TCGA-5T-A9QA	0	0.009123665	0.006512108	0.117159188	0	0.081755156	0.017211335	0	0.024986204	0	0.014394273	0.010336967	0	0.262344104	0.057319945	0.36409561	0.016435945	0	0.018325499	0	0	0
TCGA-A2-A0YL	0.152849945	0	0.023579625	0.064312084	0	0.247418833	0.005838833	0.017202302	0.006297777	0.027287559	0	0.013886819	0.005052481	0.023491969	0.140448288	0.116828162	0.034755052	0	0.120041018	0	0.000709254	0
TCGA-AO-A1KP	0.03197913	0	0	0	0	0.220867441	0	0	0.002089665	0.066691593	0.002017286	0	0	0.257510155	0.057067593	0	0.077563274	0.136926353	0.037900935	0	0.109386575	0
TCGA-AO-A0JD	0.051198298	0	0.002295554	0.110133855	0	0.158355269	0.044635739	0.068392969	0.029731351	0	0	0.00631108	0.013130014	0.109534311	0.121493045	0.136249479	0.083567408	0	0.064971628	0	0	0
TCGA-A8-A075	0.036881913	0	0.061989603	0.095197563	0	0.1585291	0.046034829	0.041621047	0.020235303	0.008775107	0	0	0	0.127096385	0.078361892	0.18763429	0.105818735	0	0.030809617	0	0	0.001014616
TCGA-E9-A295	0.036269111	0	0.007626462	0.120926579	0	0.203025938	0.015729129	0.023210379	0.025636042	0	0	0	0	0.037772833	0.124741605	0.158593056	0.134844077	0	0.111624791	0	0	0
TCGA-A8-A08S	0.018700626	0	0.001122182	0.04355791	0	0.097484082	0	0.053642962	0.022465408	0	0	0.04346282	0	0.343120353	0.070911651	0.160243037	0.046315629	0	0.088516073	0	0	0.010457267
TCGA-AR-A254	0.032636836	0	0.00674528	0.088467394	0	0.218495386	0.046057743	0.016049855	0.002161741	0	0.009420162	0	0	0.200263952	0.102461002	0.236789291	0.015289633	0	0.020505782	0	0	0.004655942
TCGA-A7-A6VY	0.005652743	0	0.118716562	0.05144028	0	0.102033911	0.07800841	0.048998393	0.026850887	0	0.019877168	0.004445292	0	0.27431104	0.096624466	0.133468944	0.008984956	0	0.030586948	0	0	0
TCGA-A8-A09R	0.001162659	0	0.004976426	0	0	0.083708611	0.018944263	0.047698316	0.006432286	0.041698578	0	0	0	0.424741525	0.140311506	0.153420601	0.002049037	0	0.074856193	0	0	0
TCGA-AO-A0J5	0.122969093	0	0.013935101	0.08515836	0	0.175069823	0	0.016799682	0.003329752	0	0	0.009433961	0.0095012	0.241854264	0.02234351	0.188646046	0	0	0.110959208	0	0	0
TCGA-AC-A2BK	0.082057694	0	0.010937569	0.234803083	0	0.112524632	0.00922337	0.057679944	0	0	0	0.071425214	0.006530732	0.038611015	0.087186691	0.201386526	0.007650401	0	0.078561374	0	0.001421754	0
TCGA-EW-A2FW	0.09284696	0	0.033895191	0.073488959	0	0.133966498	0.019507831	0.026012938	0.005566198	0.005355586	0.008221287	0	0	0.259127119	0.063752137	0.156058588	0.009738049	0	0.11246266	0	0	0
TCGA-AR-A1AX	0.100016432	0.011370668	0	0.192197759	0	0.162547111	0.066643755	0.045333311	0.061606878	0.002423596	0	0	0	0.07233562	0.077090071	0.076879168	0.004501162	0	0.127054468	0	0	0
