id	group
TCGA-AC-A62X	low
TCGA-A2-A4RY	low
TCGA-BH-A0HY	high
TCGA-E2-A14Z	high
TCGA-AR-A24M	low
TCGA-LL-A5YL	low
TCGA-AO-A03R	low
TCGA-GM-A4E0	low
TCGA-D8-A1X7	high
TCGA-A2-A0CT	low
TCGA-A1-A0SI	high
TCGA-AC-A5EH	high
TCGA-AO-A12H	low
TCGA-E2-A1IN	high
TCGA-OL-A5DA	low
TCGA-D8-A1X9	high
TCGA-E2-A2P6	low
TCGA-A2-A0CX	high
TCGA-C8-A12L	high
TCGA-BH-A0W7	low
TCGA-S3-AA0Z	low
TCGA-AR-A2LE	low
TCGA-AR-A250	high
TCGA-E2-A15S	high
TCGA-BH-A0B3	low
TCGA-A2-A0D4	high
TCGA-B6-A0WY	high
TCGA-BH-A202	high
TCGA-3C-AAAU	high
TCGA-BH-A1F5	high
TCGA-BH-A18L	high
TCGA-A8-A0A6	low
TCGA-A2-A0EU	low
TCGA-A2-A0CK	low
TCGA-C8-A3M7	high
TCGA-E2-A1IH	high
TCGA-EW-A1J2	low
TCGA-E2-A10C	low
TCGA-C8-A26Z	high
TCGA-A2-A0T7	low
TCGA-BH-A1FD	high
TCGA-D8-A1XZ	high
TCGA-E9-A1R5	high
TCGA-E2-A106	low
TCGA-B6-A0I6	high
TCGA-AR-A0U0	high
TCGA-A7-A0CE	low
TCGA-OL-A5RX	low
TCGA-BH-A0AU	high
TCGA-AR-A2LQ	high
TCGA-BH-A0E6	low
TCGA-AR-A0TR	low
TCGA-E2-A573	low
TCGA-EW-A1OV	low
TCGA-D8-A140	high
TCGA-JL-A3YX	low
TCGA-E2-A150	high
TCGA-A8-A084	high
TCGA-E2-A1LE	high
TCGA-AR-A1AQ	high
TCGA-AO-A03P	high
TCGA-BH-A0BW	low
TCGA-A2-A3XW	low
TCGA-BH-A42U	low
TCGA-A2-A0CV	low
TCGA-D8-A13Y	low
TCGA-E2-A1IJ	low
TCGA-D8-A27N	low
TCGA-E2-A1B6	low
TCGA-WT-AB41	low
TCGA-AO-A124	high
TCGA-EW-A2FV	high
TCGA-A2-A4S2	low
TCGA-AO-A0J4	high
TCGA-B6-A0RI	low
TCGA-D8-A1JN	high
TCGA-AR-A24Z	low
TCGA-BH-A0BF	high
TCGA-B6-A0RM	high
TCGA-E2-A1BC	high
TCGA-AR-A255	high
