	sample	Activated B cell	Activated CD4 T cell	Activated CD8 T cell	Activated dendritic cell	CD56bright natural killer cell	CD56dim natural killer cell	Central memory CD4 T cell	Central memory CD8 T cell	Effector memeory CD4 T cell	Effector memeory CD8 T cell	Eosinophil	Gamma delta T cell	Immature  B cell	Immature dendritic cell	Macrophage	Mast cell	MDSC	Memory B cell	Monocyte	Natural killer cell	Natural killer T cell	Neutrophil	Plasmacytoid dendritic cell	Regulatory T cell	T follicular helper cell	Type 1 T helper cell	Type 17 T helper cell	Type 2 T helper cell	group
173	TCGA-AC-A3YI	0.543399382520091	0.671967533185391	0.757623717937796	0.67711583050716	0.81452476617666	0.842483917777917	0.932430625590659	0.825691063660444	0.71906229223458	0.757655396611743	0.507446128114124	0.744370850241108	0.522181356254301	0.854959305841175	0.668821421487797	0.654073620692327	0.841113145847881	0.613158596709806	0.813791535126539	0.791817000525971	0.624220131536713	0.480524178891515	0.84442268605107	0.716893268699075	0.681632237431988	0.690838262931446	0.504169100203301	0.687634443849163	high
174	TCGA-E2-A14U	0.417396175070653	0.548955257238463	0.742378851624977	0.596125101871386	0.792689820234457	0.820223646733944	0.914635148314838	0.726291776974779	0.615205759861824	0.688971782277714	0.4840924022416	0.690995038285073	0.410934992317518	0.814453730675169	0.549872253431123	0.579570227516379	0.744217018058114	0.53207330536479	0.803940745860604	0.723396314317515	0.537397108271893	0.247454783457167	0.796058267871105	0.614344852883566	0.614865078547438	0.604689754552659	0.443080687258771	0.605949960823692	low
175	TCGA-B6-A0RU	0.477642815008784	0.728058855860344	0.7498008864938	0.592121061947885	0.80156387844992	0.784961074435225	0.91723615618618	0.801855168694507	0.68607270835021	0.69862185104848	0.481609265638287	0.733832308297946	0.446068674675684	0.81494887059116	0.563786051397226	0.575444440301068	0.742471347829076	0.657300271117128	0.803713888414892	0.760821321347698	0.599691656615465	0.249203728553059	0.802435271116746	0.690020763586872	0.709121030687573	0.679992014574683	0.485102272084132	0.758772995600788	high
176	TCGA-AC-A23G	0.475782521834822	0.701515822997088	0.784101113503319	0.665675095529076	0.814046185859625	0.8453546026266	0.949343559230008	0.86666112741189	0.731761810735828	0.768010383152039	0.556457067042434	0.787769629771279	0.54015361612534	0.838474967424191	0.680934486458073	0.716129833000578	0.87613988082864	0.656001705018507	0.839132193748863	0.812369398702304	0.637708716634492	0.341550953627693	0.837925257575295	0.836182920952912	0.709759385557768	0.710178545384004	0.495580398038683	0.720646180294884	low
177	TCGA-AO-A0J8	0.50228531010493	0.710040539405611	0.803786059339868	0.681799518392316	0.785727862488248	0.831599226557691	0.949953413423508	0.841374444043299	0.693583234556024	0.732860307542911	0.509296861438798	0.75099521658555	0.555805595177287	0.845179586268904	0.63891621234539	0.6074608666073	0.840059736463006	0.616426797223568	0.804445272504864	0.781712454657413	0.59784747700919	0.437559747839383	0.808558589483553	0.734108054478971	0.700198679401149	0.660974235679563	0.50727086679863	0.692983379276148	low
178	TCGA-BH-A0B0	0.575537990504292	0.717160124853498	0.838671625876881	0.644195609410607	0.805051946929012	0.86101435956704	0.983503302267904	0.828113852776944	0.681072430020197	0.773869027364285	0.507031612882435	0.762339228420305	0.608252568651661	0.834144521061332	0.641278692811842	0.654582622866574	0.836656825322711	0.639195745299047	0.818614364475782	0.78740746426022	0.603621519551819	0.435429736162516	0.820865939555576	0.722293909801682	0.705216068141792	0.711085873649337	0.510149051447973	0.717659550702089	low
179	TCGA-BH-A2L8	0.665219986115691	0.761203025211446	0.924146290740989	0.696818316838533	0.802184777592657	0.835867190917756	0.938784046538829	0.812217478983544	0.7106615409259	0.793489204709386	0.532974552859496	0.77630390691351	0.678952649764092	0.836170427246813	0.660337269635419	0.677859540470245	0.898932010256973	0.631074425753597	0.829217905255114	0.808095323584239	0.616350984543074	0.358682681267572	0.806512635643136	0.774475594683216	0.717925989387968	0.706698700846541	0.511013496674461	0.72116360015264	low
180	TCGA-E2-A1IK	0.610426617618893	0.755092096360042	0.859306428481999	0.647035419704009	0.830282294539448	0.857843599243677	0.930895702519225	0.765302671299463	0.683428855749653	0.714569900196205	0.56226252682064	0.721969884239568	0.652822287978058	0.797260821249009	0.648391693127973	0.581589774775405	0.830470422682889	0.584537159719515	0.843708908406408	0.759024506665062	0.581273289722007	0.374595150862628	0.809691344435144	0.720835218221853	0.721098624775071	0.662241314344734	0.498104441699143	0.675120644343115	low
181	TCGA-B6-A401	0.556412064282413	0.680561196756942	0.818874920821369	0.636720878062001	0.790089198743759	0.824855746211808	0.939557314136043	0.813243441236909	0.67024934893568	0.697352288738354	0.475293510472087	0.747249561554253	0.583989529848701	0.851032941258565	0.603360384684177	0.59571643304869	0.847214481185678	0.566737378115891	0.816589143603522	0.756129535474966	0.569638027436184	0.324645620391845	0.817230440819691	0.679197190761498	0.661954638477237	0.670595024968691	0.503347309642579	0.63488663366828	high
182	TCGA-A8-A08T	0.422065029323133	0.643371040720762	0.728238832468698	0.628821614531409	0.785904400780591	0.834881558567829	0.927290493309404	0.795911078236505	0.682131149778365	0.694993729841064	0.398392205955935	0.705623901688474	0.524153836098407	0.8077556580486	0.589405751355037	0.562704937467368	0.798586932263385	0.617546388292026	0.781529532954886	0.763342903681283	0.500690661073557	0.259035412614197	0.781123777784819	0.68888252152538	0.62126991652833	0.63584256156359	0.461501191699414	0.684374793308734	high
